Length (m),Beam (m),Draft (m),a_surge,b_surge,c_surge,d_surge,e_surge,f_surge,g_surge,r_squared_surge,a_sway,b_sway,c_sway,d_sway,e_sway,f_sway,g_sway,r_squared_sway,a_heave,b_heave,c_heave,d_heave,e_heave,f_heave,g_heave,r_squared_heave,a_roll,b_roll,c_roll,d_roll,e_roll,f_roll,g_roll,r_squared_roll,a_pitch,b_pitch,c_pitch,d_pitch,e_pitch,f_pitch,g_pitch,r_squared_pitch,a_yaw,b_yaw,c_yaw,d_yaw,e_yaw,f_yaw,g_yaw,r_squared_yaw
0.3,0.2,-0.033333333,5.64E-07,-3.71E-05,0.000884784,-0.009034339,0.037485982,-0.140477628,1.181278876,0.993484707,2.99E-10,-2.36E-08,7.30E-07,-1.11E-05,8.57E-05,-0.000324749,0.000548789,0.95090389,3.66E-06,-0.000253439,0.006518446,-0.075037225,0.358467727,-0.5173924,1.07811855,0.829488294,9.01E-08,-1.43E-05,0.00075731,-0.019033335,0.247609858,-1.61101402,4.154573472,0.996506577,0.000992996,-0.068964225,1.783711885,-20.72736704,99.3789473,-110.6204385,4.976897777,0.688289684,4.15E-08,-2.89E-06,7.53E-05,-0.000894166,0.00490936,-0.017380728,0.091802822,0.994762222
0.3,0.2,-0.066666667,4.15E-07,-2.62E-05,0.00058271,-0.005145637,0.015431939,-0.10303185,1.172440854,0.990561444,1.93E-10,-7.63E-09,-3.16E-08,5.03E-06,-7.47E-05,0.000343239,-0.000106735,0.432851435,7.39E-06,-0.000511809,0.013209833,-0.153659617,0.752999817,-1.085617756,1.144427009,0.469486292,-1.09E-07,7.77E-05,-0.004693707,0.107076869,-1.058380139,3.8277304,-0.628961986,0.360862437,0.001288057,-0.090101125,2.355387098,-27.86283638,138.6881776,-179.1018807,19.29988102,0.604649214,3.84E-08,-2.66E-06,6.86E-05,-0.000808398,0.004469221,-0.016970551,0.089332527,0.99388339
0.3,0.2,-0.1,9.23E-07,-6.48E-05,0.001700329,-0.020194852,0.105237817,-0.267924371,1.215658645,0.997404861,-3.11E-10,2.15E-08,-5.76E-07,7.59E-06,-5.11E-05,0.000149146,1.78E-05,0.70232326,2.65E-06,-0.000213563,0.006497645,-0.090837645,0.557130794,-1.146579358,1.342364234,0.564918552,9.96E-08,-6.13E-06,0.00012482,-0.000782066,-0.001296039,-0.017746483,0.394313737,0.993818205,0.000381851,-0.024055647,0.536479424,-4.720507495,8.323660176,57.85259569,-32.31459255,0.585629994,8.52E-08,-5.84E-06,0.000150224,-0.001763768,0.009300745,-0.027004113,0.146516005,0.996220248
0.3,0.2,-0.133333333,1.01E-06,-6.73E-05,0.001652969,-0.018032638,0.083109538,-0.199330072,1.191499104,0.972011057,1.64E-10,-1.50E-08,4.86E-07,-6.81E-06,3.74E-05,-3.91E-05,3.64E-05,0.561994073,6.91E-07,-5.25E-05,0.001487887,-0.018774055,0.095866004,-0.168095952,1.045877978,0.991797043,5.94E-06,-0.000441692,0.012434044,-0.161591215,0.925652363,-1.721897303,1.065593459,0.611197639,-0.000943551,0.048780004,-0.72777241,0.542025271,49.04827248,-160.2620128,69.80677698,0.596185778,5.05E-08,-3.68E-06,9.98E-05,-0.001221786,0.006553351,-0.018684557,0.107858515,0.977933307
0.3,0.2,-0.166666667,7.12E-07,-4.75E-05,0.001166822,-0.012653227,0.058041349,-0.16866808,1.187810318,0.994230415,2.56E-10,3.10E-08,-2.62E-06,6.53E-05,-0.000669291,0.002458959,-0.000375602,0.316670957,1.64E-06,-0.000120957,0.003351459,-0.042101557,0.224836777,-0.407198743,1.107928941,0.941038912,-6.78E-07,0.000282984,-0.016173546,0.358851175,-3.483904714,12.52716721,-2.904360426,0.322415347,0.002334559,-0.173084615,4.867129196,-63.45923526,367.0751093,-680.2269883,175.4970194,0.409513184,8.55E-08,-5.90E-06,0.00015209,-0.00179049,0.009479904,-0.025434912,0.106792517,0.981321985
0.4,0.2,-0.0375,6.50E-07,-4.31E-05,0.00104984,-0.011209961,0.050416305,-0.160548238,1.186616726,0.994289032,-4.88E-09,3.39E-07,-8.89E-06,0.000107135,-0.000555711,0.000627424,0.002136629,0.766914875,2.90E-06,-0.000206284,0.005501908,-0.066619617,0.345080423,-0.593126044,1.140539988,0.882804358,-2.53E-05,0.001775643,-0.047150121,0.580477821,-3.153002875,4.588095598,8.352311042,0.743236783,0.002136537,-0.149276559,3.915602048,-46.89642542,241.9447169,-362.7368338,60.95950841,0.450180408,7.58E-08,-5.21E-06,0.000133866,-0.001571237,0.008360934,-0.024033742,0.104685988,0.989057252
0.4,0.2,-0.075,6.19E-07,-4.08E-05,0.000983097,-0.010301331,0.045027413,-0.153375253,1.184330808,0.994374523,-1.99E-09,1.40E-07,-3.74E-06,4.68E-05,-0.00026634,0.000463452,0.000605549,0.817517874,4.03E-06,-0.000282403,0.00740398,-0.088038055,0.447526006,-0.73784061,1.15838049,0.773601513,-1.32E-05,0.000935128,-0.025197106,0.316616062,-1.775691876,2.801549896,4.592116307,0.885769755,0.001388438,-0.095903495,2.47617566,-28.94892747,142.7564057,-185.9921145,21.58554326,0.540314434,5.58E-08,-3.74E-06,9.32E-05,-0.001043683,0.00516535,-0.015252037,0.084773672,0.982456571
0.4,0.2,-0.1125,5.56E-07,-3.62E-05,0.000854779,-0.008624818,0.035341799,-0.13772573,1.180526935,0.994126538,-5.03E-11,3.60E-09,-1.05E-07,1.60E-06,-1.28E-05,3.37E-05,9.85E-05,0.670175516,3.91E-06,-0.000266278,0.006733388,-0.076061238,0.354895529,-0.494272431,1.068379698,0.818173817,-3.22E-06,0.000253137,-0.007730665,0.113836744,-0.798404064,2.043151743,0.655430226,0.849140345,0.001081998,-0.074282402,1.900566335,-21.88007168,104.3759828,-118.7699705,7.291651428,0.671723197,5.62E-08,-3.61E-06,8.49E-05,-0.000887367,0.004120477,-0.013881086,0.087030619,0.949821326
0.4,0.2,-0.15,8.11E-07,-5.49E-05,0.001372247,-0.015273176,0.072374885,-0.188196989,1.191164089,0.988199432,4.68E-10,-3.80E-08,1.18E-06,-1.71E-05,0.000114049,-0.000276697,0.000156311,0.318028047,8.13E-07,-6.11E-05,0.001715109,-0.021518436,0.110367238,-0.193645634,1.051991099,0.98972332,2.16E-06,-0.000186643,0.00602718,-0.089244705,0.581358709,-1.237827572,0.728901058,0.363900169,-0.000228535,0.002136501,0.393285691,-11.46257485,103.4714732,-242.3644661,84.81500549,0.68454122,5.38E-08,-3.81E-06,0.000100839,-0.001206056,0.006292331,-0.016491647,0.087513118,0.987430478
0.4,0.2,-0.1875,5.80E-07,-3.86E-05,0.000939297,-0.009991644,0.044276276,-0.145848733,1.182276492,0.994004104,4.86E-10,-3.41E-08,8.89E-07,-1.04E-05,5.09E-05,-6.79E-05,0.00010672,0.811808555,1.94E-06,-0.000140775,0.00382475,-0.047048954,0.2456374,-0.430583397,1.107616475,0.941152751,4.50E-06,-0.000301815,0.007448236,-0.080562991,0.336846845,-0.231676621,0.468447767,0.727260214,0.002005831,-0.147230498,4.090726734,-52.55324476,298.0546443,-533.8371891,131.2564916,0.445760792,5.96E-08,-4.05E-06,0.0001021,-0.001148861,0.005573749,-0.01480244,0.083224818,0.988507307
