Length (m),Beam (m),Draft (m),a_surge,b_surge,c_surge,d_surge,e_surge,f_surge,g_surge,h_surge,i_surge,j_surge,r_squared_surge,a_sway,b_sway,c_sway,d_sway,e_sway,f_sway,g_sway,h_sway,i_sway,j_sway,r_squared_sway,a_heave,b_heave,c_heave,d_heave,e_heave,f_heave,g_heave,h_heave,i_heave,j_heave,r_squared_heave,a_roll,b_roll,c_roll,d_roll,e_roll,f_roll,g_roll,h_roll,i_roll,j_roll,r_squared_roll,a_pitch,b_pitch,c_pitch,d_pitch,e_pitch,f_pitch,g_pitch,h_pitch,i_pitch,j_pitch,r_squared_pitch,a_yaw,b_yaw,c_yaw,d_yaw,e_yaw,f_yaw,g_yaw,h_yaw,i_yaw,j_yaw,r_squared_yaw
0.3,0.2,-0.033333333,8.76E-10,-8.45E-08,3.26E-06,-6.27E-05,0.000575631,-0.001180551,-0.018401503,0.122565314,-0.303850591,1.22357368,0.998955113,9.26E-13,-1.05E-10,4.99E-09,-1.29E-07,1.96E-06,-1.74E-05,8.40E-05,-0.000171931,-4.68E-05,0.000505629,0.970289471,1.86E-08,-1.95E-06,8.52E-05,-0.002011893,0.027600744,-0.220278349,0.966148322,-2.044829947,1.603393016,0.853049736,0.910103344,4.60E-09,-4.88E-07,2.18E-05,-0.000531626,0.007653097,-0.065444771,0.310219613,-0.600321343,-0.737464799,4.025693806,0.998720169,4.56E-06,-0.000469334,0.020077,-0.460675807,6.087419694,-46.05244875,185.1637783,-332.4525302,213.0972453,-13.95700669,0.83362376,2.22E-11,-1.92E-09,6.00E-08,-5.99E-07,-8.72E-06,0.000287505,-0.002933771,0.013212527,-0.029719624,0.094531295,0.997716411
0.3,0.2,-0.066666667,-7.53E-13,9.38E-09,-9.52E-07,4.00E-05,-0.000888497,0.01109985,-0.075801814,0.253411935,-0.416755851,1.234926842,0.996508406,-4.91E-12,5.35E-10,-2.46E-08,6.21E-07,-9.31E-06,8.37E-05,-0.000430621,0.001103002,-0.000934978,9.63E-05,0.551224232,4.54E-08,-4.72E-06,0.000204328,-0.004770786,0.064672919,-0.509648283,2.203721915,-4.564543145,3.457521228,0.698542888,0.590799361,-7.09E-08,7.74E-06,-0.0003563,0.008970819,-0.133879141,1.195946568,-6.105068582,15.61585684,-14.11103183,2.17989653,0.565064532,6.54E-06,-0.000678306,0.029318415,-0.68196896,9.184556249,-71.49674361,301.4986335,-591.7252749,426.9970156,-34.9427882,0.754608024,-3.02E-12,6.94E-10,-5.40E-08,2.10E-06,-4.62E-05,0.000595146,-0.004350281,0.016474367,-0.032941129,0.092559574,0.997303785
0.3,0.2,-0.1,-9.66E-10,9.01E-08,-3.49E-06,7.34E-05,-0.000946482,0.008088066,-0.047146947,0.166483483,-0.328227577,1.225788938,0.998713642,-5.54E-13,4.14E-11,-9.40E-10,-3.00E-09,4.85E-07,-8.76E-06,7.18E-05,-0.000284593,0.000468732,-4.72E-05,0.901508363,-1.36E-08,1.21E-06,-4.30E-05,0.0007464,-0.006102368,0.011534204,0.132164252,-0.707021812,0.926188477,0.871588647,0.670968168,2.02E-10,-2.44E-08,1.22E-06,-3.27E-05,0.000508656,-0.004657419,0.024471049,-0.069374402,0.054537462,0.383499846,0.995265896,5.81E-07,-4.69E-05,0.001301273,-0.008404037,-0.286898163,6.730804401,-58.07672255,212.1785668,-230.885812,28.46827693,0.795410652,-1.38E-10,1.36E-08,-5.67E-07,1.31E-05,-0.000184772,0.001660508,-0.009339733,0.029717197,-0.049927981,0.150562788,0.998619268
0.3,0.2,-0.133333333,3.47E-09,-3.53E-07,1.49E-05,-0.000333143,0.004251866,-0.030384505,0.10993813,-0.15081199,-0.075228471,1.200791421,0.983748238,1.39E-12,-1.63E-10,7.98E-09,-2.14E-07,3.37E-06,-3.16E-05,0.000167504,-0.00045227,0.000509934,-5.46E-05,0.701522656,-1.32E-09,1.14E-07,-3.84E-06,6.08E-05,-0.000393818,-0.000454931,0.016942524,-0.0674356,0.078582597,0.992793323,0.997155464,1.24E-08,-1.49E-06,7.48E-05,-0.002023325,0.03189818,-0.2940051,1.498987467,-3.699520243,3.397141879,0.238665832,0.731871696,-1.31E-05,0.001324051,-0.055408414,1.241462487,-16.02778813,119.5301034,-490.7312382,998.5345999,-763.5141618,73.27704706,0.768523447,-9.63E-11,1.07E-08,-5.04E-07,1.30E-05,-0.00020054,0.001894143,-0.010644488,0.032163392,-0.046526124,0.112297475,0.980389619
0.3,0.2,-0.166666667,1.20E-09,-1.19E-07,4.77E-06,-9.86E-05,0.001080294,-0.005333286,0.000215495,0.084551383,-0.269257278,1.220256217,0.999350675,-6.03E-11,6.48E-09,-2.93E-07,7.26E-06,-0.000106629,0.000937158,-0.004714239,0.011941527,-0.010883077,0.001686551,0.534117268,-1.02E-09,4.67E-08,8.68E-07,-9.60E-05,0.002452226,-0.029422575,0.175443955,-0.479746844,0.471506022,0.946979467,0.967377469,-2.71E-07,2.92E-05,-0.001321472,0.032737949,-0.480628218,4.2231947,-21.21150637,53.45186599,-47.73011617,6.412015129,0.531701323,7.20E-06,-0.000823467,0.039480931,-1.027232428,15.651896,-140.169883,698.5052292,-1694.223727,1537.908135,-170.0490808,0.527499925,-1.43E-10,1.38E-08,-5.56E-07,1.23E-05,-0.000164087,0.00138494,-0.00739287,0.022974464,-0.038934872,0.108891731,0.983424075
0.4,0.2,-0.0375,1.09E-09,-1.07E-07,4.24E-06,-8.59E-05,0.000905301,-0.003973985,-0.005140788,0.092498222,-0.274504674,1.220337701,0.998988096,2.82E-11,-3.02E-09,1.37E-07,-3.39E-06,5.03E-05,-0.000452166,0.002387683,-0.006665989,0.007219585,0.001083998,0.972471158,7.60E-09,-8.52E-07,4.00E-05,-0.001015586,0.015065725,-0.130749973,0.628370482,-1.474508938,1.293209407,0.863517637,0.92953274,1.34E-07,-1.43E-05,0.000647074,-0.016062656,0.238252942,-2.147615044,11.39268771,-32.14732635,35.90745884,3.340307835,0.967589213,1.26E-05,-0.001301628,0.05624201,-1.312484245,17.83096837,-141.2933489,616.4615191,-1289.607704,1002.055576,-92.17506,0.594780584,5.05E-11,-5.33E-09,2.27E-07,-4.94E-06,5.49E-05,-0.000233288,-0.000763281,0.009672878,-0.029845628,0.10668858,0.992827319
0.4,0.2,-0.075,1.06E-09,-1.02E-07,3.95E-06,-7.77E-05,0.00076865,-0.002679031,-0.011769847,0.108332761,-0.290850725,1.221799456,0.999236437,5.11E-12,-5.73E-10,2.73E-08,-7.19E-07,1.14E-05,-0.00010965,0.000626007,-0.001913591,0.002346784,0.000282312,0.996268522,1.70E-08,-1.82E-06,8.13E-05,-0.00196813,0.027846134,-0.230823286,1.0620818,-2.390180077,2.014405437,0.794711293,0.845409589,3.29E-08,-3.61E-06,0.000168156,-0.004325584,0.066977828,-0.636242577,3.599340597,-10.97125841,13.18176428,2.833299582,0.996345048,7.66E-06,-0.000784358,0.033488047,-0.769846557,10.25620237,-79.11306556,331.7420969,-652.2502251,473.4085024,-39.58554199,0.685906158,7.38E-11,-7.99E-09,3.56E-07,-8.33E-06,0.000108717,-0.000760765,0.002367183,-0.000713157,-0.013131233,0.085490009,0.987283364
0.4,0.2,-0.1125,6.76E-10,-6.09E-08,2.11E-06,-3.28E-05,0.000126781,0.002729779,-0.037206548,0.166754123,-0.342824707,1.22733516,0.999120403,-1.12E-12,1.07E-10,-4.15E-09,8.50E-08,-9.68E-07,5.90E-06,-1.55E-05,-4.05E-06,6.39E-05,8.57E-05,0.722466507,2.11E-08,-2.17E-06,9.36E-05,-0.00217124,0.029256809,-0.229094657,0.984290691,-2.035981473,1.55735679,0.860015294,0.89858173,-2.96E-08,3.12E-06,-0.000137646,0.003306571,-0.046712663,0.390142403,-1.820768222,4.051911851,-2.79659386,1.33878843,0.94929484,5.29E-06,-0.0005385,0.022788992,-0.517732756,6.783051562,-51.00548746,204.9071842,-372.1204906,244.2481756,-17.23746918,0.817223848,1.84E-10,-1.92E-08,8.25E-07,-1.88E-05,0.000242732,-0.001738679,0.006218407,-0.007798723,-0.00982514,0.088487554,0.96509986
0.4,0.2,-0.15,2.09E-09,-2.11E-07,8.82E-06,-0.000194499,0.002404561,-0.016044703,0.048240179,-0.019876982,-0.181284555,1.211255395,0.995116018,-2.24E-12,2.04E-10,-7.42E-09,1.36E-07,-1.27E-06,5.00E-06,5.44E-07,-3.30E-05,-1.22E-05,9.33E-05,0.422999149,-1.01E-09,8.08E-08,-2.30E-06,2.18E-05,0.000183763,-0.00550303,0.041542583,-0.126194578,0.131229594,0.987079804,0.996304023,-1.81E-08,1.66E-06,-6.09E-05,0.001129639,-0.010709574,0.042156004,0.029674216,-0.561883778,0.882554731,0.212279026,0.497174757,-9.06E-06,0.000899545,-0.036873339,0.803690026,-9.992446616,70.70748922,-269.9028095,501.4850965,-337.1179184,27.22957023,0.859932144,-1.77E-10,1.79E-08,-7.60E-07,1.76E-05,-0.000240979,0.00201656,-0.010082952,0.027525737,-0.036772341,0.090242767,0.989412257
0.4,0.2,-0.1875,9.14E-10,-8.59E-08,3.21E-06,-5.86E-05,0.000482673,-0.000110806,-0.02510477,0.144525568,-0.323378271,1.225981673,0.999381667,1.39E-12,-1.42E-10,6.09E-09,-1.39E-07,1.83E-06,-1.36E-05,5.17E-05,-7.90E-05,2.88E-05,0.000101211,0.842371011,2.19E-09,-2.80E-07,1.48E-05,-0.000414019,0.006685543,-0.062318706,0.3173235,-0.780749962,0.71256537,0.923557928,0.96799319,1.97E-08,-1.97E-06,8.17E-05,-0.001798776,0.022458981,-0.156108347,0.541797251,-0.6979909,0.156297848,0.567389471,0.855716597,7.29E-06,-0.000810659,0.037814934,-0.95798097,14.22195335,-124.1653019,603.5173879,-1429.009361,1271.594903,-137.404677,0.566488839,3.08E-11,-3.30E-09,1.43E-07,-3.15E-06,3.49E-05,-0.000139856,-0.000600208,0.006395182,-0.018643007,0.084570932,0.991041503
