Length (m),Beam (m),Draft (m),a_surge,b_surge,c_surge,d_surge,r_squared_surge,a_sway,b_sway,c_sway,d_sway,r_squared_sway,a_heave,b_heave,c_heave,d_heave,r_squared_heave,a_roll,b_roll,c_roll,d_roll,r_squared_roll,a_pitch,b_pitch,c_pitch,d_pitch,r_squared_pitch,a_yaw,b_yaw,c_yaw,d_yaw,r_squared_yaw
0.3,0.2,-0.166666667,7.68E-05,0.000432113,-0.09841312,1.209058821,0.979859944,1.16E-06,-3.36E-05,0.000139173,0.001304015,0.171217096,0.00068719,-0.021747242,0.108711469,0.947557195,0.875886125,0.005615193,-0.166430261,0.785280517,5.414360316,0.160418538,0.659280261,-24.58580384,235.5723659,-211.7810592,0.25234412,5.87E-06,4.08E-05,-0.008125576,0.103131814,0.961373511
0.4,0.2,-0.0375,5.89E-05,0.001277162,-0.109110011,1.215385603,0.981101524,-1.05E-06,4.54E-05,-0.000613874,0.0025514,0.689266662,0.000797797,-0.025068219,0.129877121,0.954255504,0.774208688,-0.004556128,0.199505902,-2.709316373,11.13186383,0.639243727,0.451227024,-16.17727576,145.0653731,-80.801072,0.262850281,4.72E-06,0.000101889,-0.008903113,0.101451489,0.973903651
0.4,0.2,-0.075,4.49E-05,0.00195864,-0.117837959,1.221406409,0.98113468,-2.08E-07,1.04E-05,-0.000168031,0.000873861,0.706955594,0.000911684,-0.02869671,0.156161139,0.957464844,0.639550246,-0.002295482,0.103704614,-1.467081761,6.366638858,0.770779918,0.306004175,-10.82680157,94.49006652,-36.10470432,0.323614747,3.56E-06,9.35E-05,-0.007462189,0.084573116,0.969485208
0.4,0.2,-0.1125,2.48E-05,0.002838686,-0.128010685,1.229752175,0.981102902,3.51E-08,-7.93E-07,-4.69E-06,0.000125115,0.640365866,0.000776263,-0.023146515,0.095251654,1.05362952,0.67079146,0.000112784,0.00440171,-0.233127883,1.9727839,0.603875678,0.252394032,-8.880929645,76.57944099,-20.89516484,0.411909914,-3.02E-06,0.000323114,-0.009586564,0.088436929,0.937255443
0.4,0.2,-0.15,9.76E-05,-0.000566878,-0.085544404,1.202116128,0.969977212,1.21E-07,-4.65E-06,4.45E-05,-1.43E-05,0.124167369,0.000511062,-0.015996597,0.063479889,0.982789647,0.960512821,0.001311874,-0.049197349,0.459575565,-0.145341985,0.239028822,0.44338397,-17.86611947,188.2456404,-206.5149119,0.463480955,1.21E-05,-0.000224236,-0.004469845,0.08517072,0.971357934
0.4,0.2,-0.1875,5.94E-05,0.001049696,-0.104239309,1.212673603,0.982101773,1.37E-07,-4.55E-06,3.08E-05,9.07E-05,0.662423483,0.000674294,-0.021138783,0.100301741,0.967177664,0.863692044,0.000996299,-0.032280859,0.210390847,0.620422916,0.497228515,0.532217714,-19.76902509,187.5814316,-155.2874187,0.274133868,6.33E-06,-2.70E-06,-0.006593241,0.083645037,0.968910505
0.4,0.25,-0.03,4.42E-05,0.001801927,-0.114083899,1.217878607,0.98377274,1.45E-07,-4.75E-06,3.09E-05,0.000105732,0.692950228,0.000798576,-0.024981961,0.126276921,0.973926729,0.709041051,0.000605419,-0.016610577,0.034265,1.038305288,0.531195092,0.858644876,-30.72211341,274.3015239,-157.9262584,0.163773469,-9.22E-07,0.00025641,-0.008953377,0.085251874,0.972440894
0.4,0.25,-0.06,2.98E-05,0.002506881,-0.12315039,1.225128595,0.983005917,1.07E-07,-3.81E-06,3.37E-05,-1.35E-05,0.590212534,0.000717291,-0.021383438,0.08336484,1.051581429,0.72267189,0.000438732,-0.011533788,0.009122734,0.863685203,0.512404891,0.234732722,-8.273784516,71.16293921,-16.58718844,0.417188452,-3.64E-06,0.00037772,-0.010515878,0.089265568,0.973768489
0.4,0.25,-0.09,4.71E-06,0.003576024,-0.135172852,1.235749303,0.981198774,1.27E-08,-6.69E-09,-1.28E-05,0.000152451,0.308627829,0.000972737,-0.030068715,0.153956079,1.042533194,0.462245031,0.001034032,-0.033561085,0.227214898,0.490381667,0.231300848,0.244684193,-8.676845169,75.43371618,-19.40362178,0.425014713,-2.69E-06,0.000344098,-0.01005744,0.085553399,0.976467741
0.4,0.25,-0.12,0.000124657,-0.001115345,-0.087020063,1.190411711,0.979145427,-8.76E-08,4.07E-06,-6.27E-05,0.000327762,0.643816967,0.00142649,-0.048557959,0.354882942,0.738195806,0.4324409,-3.53E-05,0.003025502,-0.071509387,0.499291731,0.961613085,0.131026588,-4.465971288,35.22101666,21.3296354,0.409456232,-1.88E-06,0.000419683,-0.015142184,0.153256638,0.980601071
0.4,0.25,-0.15,6.01E-05,0.001262161,-0.108979791,1.23227156,0.951806672,5.58E-07,-2.02E-05,0.000182451,-7.64E-05,0.142808335,0.000411686,-0.011704537,0.015129178,1.041810827,0.962602297,0.005997266,-0.21908826,2.016032693,-1.268027546,0.15226485,0.345533686,-13.88125062,145.4412464,-152.2382169,0.524229154,6.15E-06,-6.32E-05,-0.004500973,0.069051217,0.936326198
