Length (m),Beam (m),Draft (m),Heading,Asurge,Bsurge,Csurge,R2surge,MAEsurge,Asway,Bsway,Csway,R2sway,MAEsway,Aheave,Bheave,Cheave,R2heave,MAEheave,Aroll,Broll,Croll,R2roll,MAEroll,Apitch,Bpitch,Cpitch,R2pitch,MAEpitch,Ayaw,Byaw,Cyaw,R2yaw,MAEyaw
0.3,0.1,-0.1,-45,0.22746964,0.203591349,0.787977806,0.924764815,0.056098528,0.228686147,0.23513666,0.755962166,0.960160051,0.052156557,-0.368676667,0.821211919,-10,0.984534377,0.040972002,58.27720761,6.885984742,86.73963245,0.228576285,20.79864012,3904.746483,8.252233635,0.552447985,0.99548287,32.22944897,91.16141017,12.19842989,50.33885144,0.98274663,3.445197225
0.3,0.1,-0.1,0,0.232814225,0.272758156,1.139263496,0.924983675,0.063281315,0.415689735,0.001941724,1.24E-07,0.558871649,0.000298557,-0.354636954,0.875398853,-10,0.993703999,0.025624791,15.45122072,3.674649122,1.385787523,0.913069105,0.561996691,5990.3691,8.27153135,0.559758962,0.994942522,56.36154045,0.179474829,-5.348626101,217.2155886,0.906127627,0.0114476
0.3,0.1,-0.133333333,-180,0.244066995,0.317693846,1.107433017,0.975791237,0.043186525,0.281369502,5.92E-05,0.000501939,0.945465192,2.53E-05,-0.405272521,0.954282793,-10,0.861152975,0.125433294,1.662059015,-2.21781163,47.11374423,0.996781977,0.018598157,437.5976628,5.404341648,2.19490628,0.969533873,15.91705233,0.145484875,-1.291538852,123.5416805,0.968970345,0.006671591
0.3,0.1,-0.133333333,-135,0.232571066,0.223103088,0.769482062,0.970999404,0.042724926,0.24013726,0.232796041,0.769726372,0.971357742,0.043179138,-0.412280477,0.928536099,-10,0.842261274,0.13878719,76.99059213,8.664110512,30.82078971,0.987580419,2.606001798,300.4640175,5.355819703,2.061654947,0.967295251,9.89912442,83.82438762,11.35663911,43.22433804,0.982384943,3.300827413
0.3,0.1,-0.133333333,-90,0.999992992,-3.26E-05,0.000755706,0.537235829,6.68E-05,0.210491165,0.251960779,1.110142634,0.986507665,0.034596387,-0.420195407,0.900826604,-10,0.820827164,0.154705056,95.22132358,9.567812829,56.24555309,0.884116549,9.1658176,2.276699079,5.169096158,4.058220009,0.891150741,0.130091051,0.163788682,-4.995079808,223.6800943,0.984051529,0.004437054
0.3,0.1,-0.133333333,-45,0.232549593,0.223113992,0.769442763,0.970959506,0.042763237,0.24012374,0.232782763,0.769719718,0.971344931,0.043198103,-0.412269963,0.928542025,-10,0.842196268,0.138844185,76.99543083,8.664350728,30.82124582,0.987593565,2.60426658,300.471605,5.356355739,2.0643659,0.967313288,9.905563346,83.81155635,11.3569499,43.24978186,0.982465323,3.289871674
0.3,0.1,-0.133333333,0,0.24402972,0.317667199,1.107391378,0.975776021,0.043224544,0.281369502,5.92E-05,0.000501939,0.945465192,2.53E-05,-0.405279252,0.95428101,-10,0.861149272,0.125453143,1.661970084,-2.217158435,47.11261894,0.996782208,0.018596114,437.6103196,5.40476735,2.197044539,0.969450354,15.9353487,0.145362516,-1.275280248,123.2849753,0.969056485,0.006657556
0.3,0.1,-0.166666667,-180,0.260460333,0.3416811,1.109770279,0.978940699,0.044094617,0.250586126,5.44E-05,0.000196735,0.796129787,2.69E-05,-0.422879135,1.046433792,-10,0.77688351,0.174237367,1.035385448,-1.314457571,37.24977756,0.993749941,0.014131751,238.2657666,4.278879462,1.962807185,0.979416174,6.401368553,0.140824495,-0.994066177,103.9655794,0.979141844,0.005529902
0.3,0.1,-0.166666667,-135,0.246103593,0.233000057,0.774657215,0.975463013,0.040133556,0.2478737,0.234807152,0.774102379,0.972974249,0.041804305,-0.425640365,1.031124069,-10,0.765691656,0.181398212,60.36605437,7.793797615,26.61980977,0.98701537,1.819531729,166.4487571,4.250378353,1.873068096,0.949619725,5.854756626,74.91575436,10.7798131,39.5551147,0.980529993,3.200891525
0.3,0.1,-0.166666667,-90,0.268287667,0.000102255,0.000136469,0.623021668,4.40E-05,0.226010673,0.274410057,1.110222708,0.985438678,0.038129911,-0.428826089,1.013365328,-10,0.754399653,0.189245547,79.97366499,7.94697019,32.54741632,0.953148235,5.352965675,2.155772711,3.863885975,4.526658444,0.91286498,0.10569343,0.161580918,-4.994321537,204.2411967,0.988047328,0.004004063
0.3,0.1,-0.166666667,-45,0.246077944,0.232986216,0.774632932,0.975434305,0.040165481,0.247865387,0.234805144,0.774093954,0.972964747,0.041813096,-0.425653479,1.031130365,-10,0.765675313,0.181418711,60.36980944,7.794012232,26.61976597,0.987021911,1.818976447,166.4316737,4.250666484,1.874940325,0.949624799,5.860000902,74.90182788,10.78015902,39.58722703,0.980626014,3.190057113
0.3,0.1,-0.166666667,0,0.260434758,0.34167055,1.109736644,0.978927713,0.044125116,0.250586126,5.44E-05,0.000196735,0.796129787,2.69E-05,-0.422877253,1.046436345,-10,0.776907694,0.174230487,1.035357437,-1.314050327,37.24491067,0.993745297,0.014125957,238.2480366,4.279116356,1.964291277,0.979358136,6.40886548,0.140636852,-0.966416158,103.6062465,0.979172043,0.005523245
0.3,0.15,-0.022222222,-180,0.273127842,0.353783821,1.115335496,0.981115674,0.042042075,0.31072282,6.12E-09,0.000424376,0.775700352,3.49E-05,-0.457766383,1.096443941,-10,0.552741823,0.278312667,1.781930082,-2.351724816,32.34425566,0.99698461,0.014843827,251.4985972,4.264867011,2.232582427,0.981158154,5.74099237,0.139621603,-1.141503827,97.34310292,0.984798082,0.004710844
0.3,0.15,-0.022222222,-135,0.256026804,0.234839613,0.781589584,0.979096364,0.036111041,0.255505738,0.239656402,0.776869043,0.974046473,0.040924428,-0.460218787,1.088438604,-10,0.543453837,0.284614396,29.97891238,5.928198852,17.07238141,0.986871489,1.006886675,176.9242253,4.247089828,2.165727247,0.988400773,2.933153614,67.061475,10.36171411,37.29968304,0.979550998,2.960050088
0.3,0.15,-0.022222222,-90,0.242090545,7.45E-05,2.68E-14,0.617150028,2.68E-05,0.238760637,0.294186508,1.110377479,0.984065008,0.04131456,-0.462732922,1.080143777,-10,0.534375061,0.290889749,41.90629064,5.790831953,15.85586585,0.922417518,3.072050329,1.716909608,3.753949127,4.348763206,0.909770231,0.077675376,0.184810236,-6.771263949,208.4763498,0.985248598,0.004310936
