Length (m),Beam (m),Draft (m),a_surge,b_surge,c_surge,r_squared_surge,a_sway,b_sway,c_sway,r_squared_sway,a_heave,b_heave,c_heave,r_squared_heave,a_roll,b_roll,c_roll,r_squared_roll,a_pitch,b_pitch,c_pitch,r_squared_pitch,a_yaw,b_yaw,c_yaw,r_squared_yaw
0.4,0.2,-0.075,0.295680137,0.384808602,1.124976637,0.983629566,1.057313294,0.003458163,0.000209925,0.963270152,0.294610919,0.829442075,0.716983973,0.601450833,1.095457946,23.3027426,2.167038712,0.993545006,0.285201339,191.9290616,-108.5342178,0.299338544,0.265959649,0.022267981,0.079642375,0.969871135
0.4,0.2,-0.1125,0.309489727,0.405623828,1.126825667,0.984004034,0.376182031,9.82E-05,8.90E-05,0.665242485,0.321265997,0.910424358,0.724892075,0.662468648,0.545399888,3.001697103,0.652267472,0.785309877,0.292402491,169.1039842,-90.06825447,0.399907717,0.25910659,0.019082892,0.084048902,0.939604812
0.4,0.2,-0.15,0.248413252,0.322100146,1.119253919,0.973852326,4.49114835,-0.000135166,0.000170183,-0.087267526,0.26384991,0.542965908,0.858038125,0.923582997,0.215057204,0.588194181,-0.103150828,0.162758315,0.192548449,195.9788546,-180.1932415,0.303341161,0.24290438,0.023751617,0.080221416,0.96803565
0.4,0.2,-0.1875,0.268656779,0.340078833,1.127251343,0.985387722,0.291362679,0.000116476,5.22E-05,0.627474463,0.279852066,0.653555234,0.805872811,0.81651083,0.33051608,1.065626529,0.131481465,0.532315653,0.235610541,249.2587236,-186.2289599,0.202154785,0.270208201,0.024826848,0.077381179,0.971099725
0.4,0.25,-0.03,0.284711107,0.362065219,1.128358465,0.986274772,0.311113429,0.000146252,4.81E-05,0.698596377,0.292974502,0.771670475,0.751932717,0.671573933,0.414290809,1.501906936,0.268874014,0.662851794,0.273145185,486.7328249,-317.2113763,0.140829852,0.265953499,0.019370355,0.081412926,0.972805217
0.4,0.25,-0.06,0.2999258,0.387419279,1.128042992,0.985592421,7.474661846,-7.97E-11,7.07E-12,-0.333333333,0.31745083,0.861177507,0.747027069,0.711897906,0.42535734,1.240040557,0.227546494,0.647030206,0.295632439,162.713936,-85.13766163,0.408665844,0.266541308,0.016709054,0.087578939,0.970408399
0.4,0.25,-0.09,0.315953463,0.41295696,1.12979422,0.984757915,6.236985523,-0.000478935,0.000607636,0.292035398,0.319464431,1.06097594,0.635909098,0.458073716,0.352289105,1.199757989,-0.135257606,0.27379186,0.289798189,168.3096463,-89.57186472,0.419117552,0.291069573,0.020964559,0.081699345,0.975016312
0.4,0.25,-0.12,0.276345066,0.370848627,1.108440792,0.974888393,0.48698458,7.74E-08,0.000450429,0.701861448,0.263464275,0.935582874,0.560767672,0.370020122,0.408802592,0.240429111,0.435636833,0.96773237,0.34654369,140.7559613,-55.07770294,0.527808552,0.222568685,0.021865527,0.153193187,0.975776562
0.4,0.25,-0.15,0.27836964,0.378320083,1.12015125,0.959921654,0.237260941,0.000252058,-8.86E-05,0.1000119,0.287972534,0.567633112,0.879464631,0.951015048,0.236022789,2.660920335,-1.416832367,0.106069219,0.195108343,156.6829875,-137.0407196,0.349739179,0.222447941,0.014102868,0.067542536,0.930649321
0.4,0.3,-0.033333333,0.291867541,0.389518912,1.124016992,0.978064875,0.475654665,0.001229219,0.000234969,0.57582289,0.296179315,0.650428471,0.835590491,0.86410452,0.485859093,5.786518636,0.651147869,0.558673925,0.227824652,185.0584603,-139.6547008,0.324113296,0.159610561,5.07E-07,0.087117413,0.91290348
0.4,0.3,-0.066666667,0.31160507,0.41724684,1.127299878,0.979051891,2.424275035,0.128329127,-0.01066647,0.997514852,0.303701679,0.745358198,0.78753246,0.739272137,2.473341842,658.8101885,-56.34065195,0.998848116,0.254301664,171.689817,-111.4762019,0.360491733,0.260246739,0.016251376,0.058084367,0.974666347
0.4,0.3,-0.1,0.320077159,0.442171256,1.119010673,0.969149423,0.645765114,0.001113721,0.00027361,0.719083376,0.317632813,0.830092158,0.762938068,0.72054842,0.744905472,10.60837066,1.531742985,0.741880172,0.275352416,300.9947381,-189.5012437,0.182421025,0.267466889,0.013518191,0.060189831,0.979794631
0.4,0.3,-0.133333333,0.365864189,0.477920535,1.148567163,0.954469926,5.739997961,-0.000611443,0.000771272,0.76190476,0.329495363,0.966347485,0.708501479,0.577423213,0.454917207,5.823220949,-0.900897771,0.272689967,0.276988479,391.7052939,-249.2446285,0.15213046,0.270320309,0.015141333,0.049325535,0.95173836
0.4,0.3,-0.166666667,0.274628274,0.361295061,1.125634176,0.977245345,4.328109903,-0.000265334,0.000334848,0.180327868,0.291606802,0.59227508,0.868085269,0.933827062,0.247816586,0.638068439,-0.023456815,0.225780903,0.205898944,168.318648,-141.0700716,0.327283465,0.261881433,0.020356403,0.076377527,0.941987714
0.5,0.25,-0.032,0.289867134,0.382220343,1.125508374,0.979939263,0.287591756,8.23E-05,0.000141592,0.591893357,0.301327497,0.668210777,0.833095577,0.864147898,0.336430306,1.029510356,0.140278644,0.532247068,0.233292741,204.1511167,-152.3498808,0.253176412,0.249458187,0.01267638,0.060356161,0.945143598
0.5,0.25,-0.064,0.308531104,0.408679108,1.129110141,0.980361876,0.352216602,0.000178131,4.12E-05,0.662181579,0.308452324,0.746685023,0.795800116,0.763668265,0.401079825,1.39517399,0.252699244,0.63912399,0.255726765,168.3242412,-108.353268,0.363107368,0.258966937,0.01410039,0.063181379,0.962994599
0.5,0.25,-0.096,0.317074722,0.433019354,1.121211655,0.973525005,0.314297938,0.000102498,6.83E-05,0.677480111,0.321693042,0.819391782,0.776816297,0.7507434,0.436061861,1.487118051,0.225767363,0.606235188,0.275296932,252.3034487,-156.3337166,0.208909028,0.089344358,-0.00218648,0.058237656,0.889498656
0.5,0.25,-0.128,0.36924867,0.472201648,1.156438984,0.926945165,5.128721867,-0.000143752,0.000181382,0.0625,0.332981403,0.919833625,0.741003609,0.649926886,0.404577901,0.943570145,0.191576075,0.63177583,0.276315113,484.3881706,-313.4302631,0.137766543,0.271935936,0.013361793,0.056841806,0.934934132
